OG0002595,-979.138710,0.34358,-979.010070,0.31144 0.44039,-977.455652,0.22036 0.72117,-978.318922,0.38894 0.09169,-977.620526,0.41466 0.06709,-978.888857,0.37272 0.18198
OG0002596,-801.620521,0.52047,-801.620535,0.52048 1.93709,-798.563340,0.00010 0.85039,-800.703969,0.59778 0.00010,-800.695422,0.59833 0.00010,-800.698840,0.59807 0.00010
OG0002597,-526.148270,0.89557,-525.188589,1.57317 0.22308,-525.379317,0.44933 2.24968,-526.007389,1.04507 0.44979,-525.717993,0.78191 999.00000,-526.148270,0.89558 1.67581
OG0002599,-670.728229,0.06410,-670.521565,0.07982 0.00010,-669.862712,0.16318 0.00010,-669.272942,0.00010 0.32637,-670.728239,0.06410 2.16779,-670.728260,0.06409 2.31505
OG0002600,-1444.534391,0.21454,-1444.501429,0.23696 0.19230,-1443.783665,0.27279 0.06872,-1444.517143,0.20980 0.27616,-1443.948262,0.23100 0.00010,-1442.820453,0.14565 1.17383
OG0002601,-2391.986909,0.42066,-2391.975807,0.41212 0.43847,-2391.278606,0.37209 0.66635,-2391.186055,0.46634 0.23302,-2388.122873,0.50590 0.07125,-2390.158143,0.34969 0.98457
OG0002602,-4358.435141,0.05106,-4357.422755,0.03765 0.08636,-4358.063087,0.04501 0.08083,-4357.739529,0.05803 0.01905,-4357.828407,0.05740 0.02006,-4358.197598,0.05587 0.03275
OG0002603,-1402.727655,0.80183,-1400.961902,1.24666 0.45512,-1402.495826,0.72949 1.22789,-1402.474234,0.75722 1.88456,-1402.239651,0.73839 2.00755,-1402.574943,0.73788 1.06105
OG0002604,-6983.231821,0.35148,-6982.931109,0.32434 0.40757,-6983.135229,0.33983 0.39445,-6983.086759,0.34303 0.44570,-6981.899018,0.37697 0.16228,-6983.048222,0.36879 0.30204
OG0002605,-718.133867,0.50605,-717.686775,0.48080 999.00000,-717.687189,0.48077 999.00000,-714.951432,0.71664 0.00010,-714.333367,0.08940 1.07494,-713.104202,0.82752 0.00010
