OG0002595,-979.138710,0.34359,-979.010070,0.31144 0.44039,-977.455652,0.22036 0.72117,-978.318922,0.38894 0.09169,-977.620526,0.41466 0.06709,-978.888857,0.37272 0.18198
OG0002596,-909.296242,0.69654,-909.296262,0.69655 1.67416,-905.660829,0.00010 0.94200,-908.155033,0.76306 0.00010,-908.148887,0.76334 0.00010,-908.150377,0.76321 0.00010
OG0002597,-530.145385,0.71723,-529.505468,1.04920 0.22399,-529.838171,0.45103 1.12166,-530.082546,0.78416 0.45148,-529.630236,0.62587 999.00000,-530.145387,0.71723 2.00797
OG0002599,-670.728229,0.06410,-670.521565,0.07982 0.00010,-669.862712,0.16318 0.00010,-669.272942,0.00010 0.32637,-670.728240,0.06410 2.59775,-670.728226,0.06410 0.00010
OG0002600,-1444.534391,0.21452,-1444.501429,0.23695 0.19229,-1443.783665,0.27279 0.06871,-1444.517143,0.20980 0.27616,-1443.948262,0.23100 0.00010,-1442.820453,0.14564 1.17396
OG0002601,-2387.167446,0.45360,-2386.981128,0.41741 0.54121,-2386.639461,0.40730 0.67456,-2386.183731,0.50967 0.23574,-2383.004207,0.55195 0.07242,-2385.631427,0.38206 0.99012
OG0002602,-4358.435141,0.05107,-4357.422755,0.03765 0.08636,-4358.063087,0.04501 0.08083,-4357.739529,0.05803 0.01905,-4357.828407,0.05740 0.02006,-4358.197598,0.05587 0.03275
OG0002603,-1402.727655,0.80183,-1400.961902,1.24666 0.45512,-1402.495826,0.72950 1.22788,-1402.474234,0.75722 1.88458,-1402.239651,0.73839 2.00755,-1402.574943,0.73788 1.06105
OG0002604,-6926.322412,0.35866,-6925.863412,0.32497 0.43300,-6926.284950,0.35113 0.38563,-6926.181994,0.35000 0.45300,-6924.979736,0.38533 0.16519,-6926.128927,0.37720 0.30714
OG0002605,-928.521763,0.70661,-927.832479,0.67322 999.00000,-928.315174,0.73293 0.28422,-927.577930,0.79192 0.14212,-926.516506,0.23759 0.96189,-925.020284,0.87630 0.00010
OG0002606,-1093.999757,0.10479,-1092.121535,0.13940 0.00010,-1089.250972,0.01791 0.34724,-1092.541971,0.13006 0.00010,-1093.671047,0.11019 0.00010,-1093.710486,0.12190 0.05264
OG0002607,-1397.132552,0.07371,-1397.117931,0.07680 0.06572,-1395.406039,0.09457 0.00010,-1396.269268,0.04925 0.14659,-1395.593877,0.09203 0.00010,-1395.869609,0.05721 0.43022
OG0002608,-1752.109265,0.21270,-1751.756262,0.17837 0.31350,-1752.093973,0.21975 0.19404,-1751.963228,0.19493 0.29274,-1751.640849,0.22132 0.00010,-1751.534402,0.25036 0.10284
OG0002609,-1984.472457,0.05099,-1982.482029,0.06970 0.00010,-1983.469737,0.03090 0.10034,-1983.848468,0.05619 0.00010,-1983.885757,0.05587 0.00010,-1984.084155,0.03945 0.08363
OG0002610,-2769.335424,0.00010,-2769.335424,0.00010 0.00010,-2769.335424,0.00010 0.00010,-2769.335424,0.00010 0.00010,-2769.335424,0.00010 0.00010,-2769.335424,0.00010 0.00010
OG0002612,-2370.383720,0.38133,-2370.258455,0.39896 0.31000,-2364.396846,0.19529 0.76066,-2370.193769,0.39493 0.25843,-2366.323468,0.45892 0.06516,-2368.814939,0.43414 0.13799
